crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
dbus, 193, 28, 9210, 9210, 216, 845, 1044, 26, 924, 924, 4, 19, 21, 0, 0, 0, 79, 7, 80, 1, 0, 1, 8, 0, 8, 249, 137, 2136, 458, 2110
derive_more, 7, 27, 5477, 5477, 402, 433, 752, 3, 104, 104, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 71, 3, 7, 7, 522
devd-rs, 34, 4, 277, 277, 0, 0, 0, 1, 74, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 32, 17, 89
digest, 0, 14, 1961, 1961, 13, 216, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 17, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0
dirs, 29, 5, 433, 433, 0, 0, 0, 5, 35, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 20, 98, 20, 20
dirs-sys, 8, 2, 470, 470, 0, 0, 0, 6, 277, 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14, 5, 86
dns-parser, 0, 32, 2434, 2434, 45, 87, 124, 12, 975, 975, 0, 0, 0, 0, 0, 0, 25, 0, 25, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0
dogear, 2, 8, 8049, 8049, 359, 1694, 1866, 3, 40, 40, 0, 0, 0, 0, 0, 0, 7, 2, 7, 0, 0, 0, 0, 0, 0, 88, 1, 1, 5, 238
dtoa, 75, 3, 1079, 1079, 4, 447, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 6, 3, 77, 7, 211
dtoa-short, 1, 1, 192, 192, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 5, 17
dwrote, 308, 21, 2867, 2867, 77, 172, 241, 1, 1, 1, 0, 0, 0, 0, 0, 0, 14, 0, 14, 0, 0, 0, 5, 0, 5, 99, 77, 375, 100, 1065
either, 10, 3, 1611, 1611, 83, 115, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 38, 2, 5, 4, 74
enumset, 2, 2, 1194, 1194, 9, 318, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 12, 3, 0, 3, 0, 0, 0, 28, 0, 0, 2, 16
enumset_derive, 0, 1, 590, 590, 37, 206, 231, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
env_logger, 9, 13, 3876, 3877, 26, 56, 73, 10, 866, 866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 10, 19, 18, 113
error-chain, 1, 6, 1995, 1995, 20, 1107, 1112, 3, 85, 85, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 6, 1, 1, 1, 6
etagere, 0, 3, 2233, 2233, 132, 45, 169, 2, 2, 2, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0
euclid, 14, 22, 16220, 16220, 103, 246, 307, 20, 3392, 3392, 0, 0, 0, 0, 0, 0, 94, 0, 94, 0, 0, 0, 42, 0, 42, 640, 4, 4, 16, 32
