crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
idna, 0, 4, 16344, 16344, 5, 25, 27, 1, 18, 18, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0
indexmap, 47, 16, 7089, 7089, 76, 165, 234, 8, 1248, 1248, 0, 0, 0, 0, 0, 0, 89, 0, 89, 0, 0, 0, 1, 0, 1, 159, 69, 125, 127, 579
ppv-lite86, 253, 6, 3789, 3789, 203, 738, 899, 3, 262, 262, 0, 0, 0, 0, 0, 0, 47, 0, 47, 0, 0, 0, 0, 0, 0, 14, 3, 58, 110, 400
pin-project-lite, 3, 1, 1558, 1558, 24, 1336, 1336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 8
unicode-width, 0, 3, 827, 827, 36, 0, 36, 9, 81, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
either, 10, 3, 1611, 1611, 83, 115, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 38, 2, 5, 4, 74
tokio, 978, 299, 80340, 80341, 1240, 13429, 14249, 255, 3399, 3399, 2, 0, 2, 0, 0, 0, 135, 39, 159, 2, 0, 2, 111, 0, 111, 795, 290, 2617, 1018, 11041
itertools, 5, 47, 11409, 11409, 133, 486, 599, 0, 0, 0, 1, 0, 1, 0, 0, 0, 74, 0, 74, 0, 0, 0, 0, 0, 0, 261, 4, 8, 6, 38
slab, 6, 3, 1693, 1693, 21, 0, 21, 1, 13, 13, 0, 0, 0, 0, 0, 0, 12, 0, 12, 0, 0, 0, 0, 0, 0, 29, 3, 6, 3, 21
futures, 0, 1, 259, 259, 1, 1, 1, 2, 66, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
unicode-normalization, 26, 13, 39263, 39263, 50, 28, 72, 4, 97, 97, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 31, 19, 131, 33, 447
rustc_version, 7, 1, 408, 408, 17, 25, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 3, 17, 3, 20
chrono, 68, 40, 25192, 25192, 579, 686, 1122, 52, 4747, 4747, 0, 0, 0, 0, 0, 0, 96, 22, 105, 0, 0, 0, 2, 0, 2, 299, 61, 1162, 215, 1765
memoffset, 0, 4, 854, 854, 21, 456, 456, 2, 296, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
fnv, 0, 1, 366, 366, 0, 0, 0, 1, 228, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
env_logger, 9, 13, 3876, 3877, 26, 56, 73, 10, 866, 866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 10, 19, 18, 113
typenum, 0, 9, 6414, 6414, 65, 346, 400, 7, 367, 367, 0, 0, 0, 0, 0, 0, 455, 81, 482, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0
unicode-bidi, 9, 10, 3658, 3658, 23, 21, 38, 16, 949, 949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 5, 21, 7, 619
heck, 7, 9, 850, 850, 10, 0, 10, 9, 226, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
pkg-config, 45, 1, 971, 971, 47, 23, 66, 1, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 221, 19, 407
winapi, 6529, 404, 176901, 176903, 11713, 75328, 75610, 4, 27, 27, 0, 0, 0, 0, 0, 0, 39, 0, 39, 0, 0, 0, 0, 0, 0, 6931, 6485, 6525, 6487, 28431
matches, 0, 3, 178, 178, 8, 105, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hyper, 71, 57, 16798, 16800, 420, 1435, 1729, 29, 3266, 3266, 0, 0, 0, 0, 0, 0, 49, 10, 53, 1, 0, 1, 12, 0, 12, 90, 4, 8, 82, 2155
crossbeam-epoch, 119, 12, 4892, 4892, 20, 39, 54, 15, 1027, 1027, 1, 0, 1, 0, 0, 0, 11, 12, 18, 0, 0, 0, 11, 0, 11, 50, 42, 408, 111, 815
miniz_oxide, 0, 10, 5899, 5899, 51, 493, 519, 10, 567, 567, 1, 19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0
thread_local, 42, 4, 1046, 1046, 23, 97, 119, 1, 110, 110, 0, 0, 0, 0, 0, 0, 15, 0, 15, 0, 0, 0, 1, 0, 1, 16, 13, 129, 35, 215
thiserror, 2, 4, 342, 342, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
thiserror-impl, 10, 8, 1585, 1585, 112, 176, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 34, 14, 373
termcolor, 33, 1, 2349, 2349, 40, 90, 122, 41, 531, 531, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 49, 9, 54, 63, 345
toml, 40, 9, 4202, 4202, 27, 422, 441, 3, 87, 87, 0, 0, 0, 0, 0, 0, 98, 0, 98, 0, 0, 0, 0, 0, 0, 62, 0, 0, 92, 439
opaque-debug, 0, 1, 23, 23, 1, 17, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
anyhow, 77, 11, 3934, 3934, 46, 989, 1020, 27, 160, 160, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 0, 3, 36, 18, 48, 72, 660
futures-core, 4, 7, 805, 805, 5, 13, 16, 2, 52, 52, 0, 0, 0, 0, 0, 0, 11, 5, 11, 0, 0, 0, 2, 0, 2, 5, 3, 5, 3, 125
socket2, 235, 6, 7083, 7083, 108, 493, 548, 19, 463, 463, 0, 0, 0, 0, 0, 0, 22, 61, 64, 0, 0, 0, 4, 0, 4, 187, 156, 469, 232, 1652
crossbeam-channel, 98, 16, 7694, 7694, 34, 1160, 1185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 12, 0, 0, 0, 6, 0, 6, 64, 17, 251, 85, 1377
arrayvec, 107, 7, 2179, 2179, 32, 21, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 23, 0, 0, 0, 2, 0, 2, 55, 34, 153, 79, 628
futures-util, 182, 177, 24988, 24988, 471, 2153, 2473, 137, 2329, 2329, 8, 0, 8, 0, 0, 0, 195, 0, 195, 0, 0, 0, 30, 0, 30, 310, 48, 176, 194, 1973
http, 43, 21, 13638, 13638, 138, 1806, 1882, 14, 692, 692, 0, 0, 0, 0, 0, 0, 88, 20, 92, 0, 0, 0, 10, 0, 10, 193, 31, 59, 113, 937
futures-task, 23, 7, 807, 807, 1, 0, 1, 7, 202, 202, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 6, 0, 6, 14, 6, 28, 19, 64
tokio-util, 26, 46, 10167, 10169, 199, 411, 572, 9, 254, 254, 0, 0, 0, 0, 0, 0, 53, 27, 72, 0, 0, 0, 1, 0, 1, 194, 15, 57, 56, 870
futures-channel, 21, 6, 2205, 2205, 17, 8, 23, 6, 23, 23, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 8, 0, 8, 38, 11, 34, 36, 398
futures-sink, 0, 1, 239, 239, 0, 0, 0, 1, 77, 77, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
unicode-segmentation, 3, 7, 10682, 10682, 34, 94, 112, 2, 2, 2, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 0, 29, 2, 3, 6, 22
crossbeam-deque, 114, 2, 2306, 2306, 6, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 6, 0, 6, 28, 13, 303, 22, 1085
nom, 94, 28, 16767, 16767, 400, 980, 1241, 43, 2808, 2808, 114, 109, 212, 0, 0, 0, 26, 14, 34, 0, 0, 0, 0, 0, 0, 264, 96, 242, 106, 547
httparse, 123, 7, 3033, 3033, 86, 126, 197, 10, 1203, 1203, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 39, 14, 75, 38, 802
h2, 51, 52, 24641, 24641, 492, 981, 1374, 13, 845, 845, 0, 0, 0, 0, 0, 0, 44, 32, 55, 0, 0, 0, 0, 0, 0, 526, 45, 203, 108, 2253
vec_map, 3, 1, 1612, 1612, 7, 45, 50, 1, 542, 542, 0, 0, 0, 0, 0, 0, 13, 0, 13, 0, 0, 0, 0, 0, 0, 32, 3, 5, 3, 19
futures-io, 0, 1, 557, 557, 0, 0, 0, 1, 531, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
semver-parser, 2, 8, 2798, 2798, 29, 23, 51, 4, 772, 772, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 11
proc-macro-hack, 11, 5, 1043, 1043, 45, 257, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 7, 3, 23, 16, 212
pin-project, 3, 1, 314, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 0, 0, 2, 12
humantime, 0, 4, 1216, 1216, 11, 9, 18, 4, 391, 391, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0
pin-project-internal, 6, 7, 2668, 2668, 151, 361, 453, 0, 0, 0, 2, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5, 9, 123
backtrace, 257, 31, 6408, 6408, 67, 1296, 1330, 28, 521, 521, 8, 0, 8, 0, 0, 0, 8, 0, 8, 0, 0, 0, 6, 0, 6, 104, 28, 151, 64, 1267
tracing, 5, 9, 6132, 6132, 42, 2554, 2560, 3, 66, 66, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 1, 0, 1, 48, 2, 2, 5, 10
pin-utils, 0, 3, 139, 139, 3, 121, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tinyvec, 2, 8, 14567, 14567, 172, 324, 467, 3, 23, 23, 0, 0, 0, 0, 0, 0, 116, 2, 116, 0, 0, 0, 0, 0, 0, 102, 9, 9, 10, 59
crc32fast, 80, 7, 1375, 1375, 9, 36, 44, 6, 118, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 25, 7, 155
tracing-core, 20, 14, 6074, 6074, 45, 231, 263, 33, 683, 683, 0, 0, 0, 0, 0, 0, 38, 42, 65, 0, 0, 0, 5, 0, 5, 133, 21, 47, 33, 311
sha2, 81, 10, 1338, 1338, 143, 264, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 0, 10, 4, 4, 16, 233
instant, 0, 3, 268, 268, 3, 28, 28, 5, 37, 37, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0
rustc-demangle, 10, 3, 2507, 2507, 45, 68, 107, 5, 786, 786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 24, 11, 609
nix, 541, 58, 31297, 31297, 365, 12946, 13007, 105, 3842, 3842, 1, 0, 1, 0, 0, 0, 58, 109, 146, 0, 0, 0, 6, 0, 6, 381, 241, 1202, 376, 3069
