crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
new_debug_unreachable, 0, 1, 34, 34, 1, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
num, 0, 1, 97, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
num-bigint, 9, 27, 9518, 9518, 458, 975, 1354, 49, 523, 523, 0, 0, 0, 0, 0, 0, 120, 0, 120, 0, 0, 0, 0, 0, 0, 68, 4, 4, 24, 102
num-bigint, 9, 27, 9518, 9518, 458, 975, 1354, 49, 523, 523, 0, 0, 0, 0, 0, 0, 120, 0, 120, 0, 0, 0, 0, 0, 0, 68, 4, 4, 24, 102
num-complex, 5, 5, 3763, 3763, 81, 467, 531, 18, 2016, 2016, 0, 0, 0, 0, 0, 0, 21, 1, 21, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 86
num-derive, 0, 2, 977, 977, 33, 498, 512, 1, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0
num-integer, 0, 3, 1842, 1842, 131, 904, 1021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
num-iter, 0, 1, 723, 723, 0, 0, 0, 5, 333, 333, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0
num-macros, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
num-rational, 0, 2, 3267, 3267, 66, 377, 424, 10, 1602, 1602, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0
