avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::solarish::compat::forkpty, dup2, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 156, 11
1, libc, libc::fuchsia::mod::__CMSG_NEXT, __CMSG_LEN, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/fuchsia, mod.rs, 3334, 26
1, libc, libc::unix::solarish::compat::forkpty, ioctl, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 155, 11
1, libc, libc::unix::linux_like::linux::musl::lfs64::pwritev64, pwritev, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 186, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::fstatfs64, fstatfs, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 66, 4
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 84, 15
1, libc, libc::unix::linux_like::linux::musl::lfs64::readdir64_r, readdir_r, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 200, 4
1, libc, libc::unix::haiku::native::get_thread_info, _get_thread_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1331, 4
1, libc, libc::unix::haiku::native::get_sem_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1296, 28
1, libc, libc::unix::linux_like::linux::musl::lfs64::fopen64, fopen, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 23, 4
1, libc, libc::unix::solarish::compat::getgrent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 217, 5
1, libc, libc::unix::haiku::native::get_next_area_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1255, 8
