created_at,description,documentation,downloads,homepage,id,name,repository,updated_at
2017-02-22 05:32:09.54644,Asynchronous TLS/SSL streams for Tokio using Rustls.,https://docs.rs/tokio-rustls,23617006,https://github.com/tokio-rs/tls,8630,tokio-rustls,https://github.com/tokio-rs/tls,2022-05-04 16:04:33.368519
2017-10-08 21:02:37.136531,Experimental error handling abstraction.,https://docs.rs/failure,23322282,https://rust-lang-nursery.github.io/failure/,34914,failure,https://github.com/rust-lang-nursery/failure,2020-05-02 18:13:11.746367
2017-02-12 07:05:29.02998,Helpful macros for working with enums and strings,https://docs.rs/strum,22880506,https://github.com/Peternator7/strum,8483,strum_macros,https://github.com/Peternator7/strum,2022-08-07 23:36:05.651121
2015-06-22 23:35:40.217184,"Split a string into shell words, like Python's shlex.",,22819397,,2450,shlex,https://github.com/comex/rust-shlex,2021-08-27 22:47:16.057841
2018-03-06 02:30:39.993421,A trie for storing Unicode codepoint sets and maps. ,https://docs.rs/ucd-trie,22728629,https://github.com/BurntSushi/ucd-generate,54048,ucd-trie,https://github.com/BurntSushi/ucd-generate,2022-09-03 17:33:19.789999
2019-05-12 20:19:45.913839,System-level helper functions for the dirs and directories crates.,,22540235,,133850,dirs-sys,https://github.com/dirs-dev/dirs-sys-rs,2022-03-17 21:01:07.315042
2016-03-28 22:50:21.56798,Adds #[derive(x)] macros for more traits,https://jeltef.github.io/derive_more/derive_more/,22498578,,4596,derive_more,https://github.com/JelteF/derive_more,2021-11-28 13:37:23.661818
2018-07-19 19:42:36.874339,"Bindings for all JS global objects and functions in all JS environments like Node.js and browsers, built on `#[wasm_bindgen]` using the `wasm-bindgen` crate. ",https://docs.rs/js-sys,22437044,https://rustwasm.github.io/wasm-bindgen/,75112,js-sys,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/js-sys,2022-09-12 14:27:57.166267
2014-11-11 06:38:26.586055,Low-level bindings to the system libz library (also known as zlib).,,22425223,,39,libz-sys,https://github.com/rust-lang/libz-sys,2022-05-28 05:18:05.172237
2016-08-28 13:40:20.874613,Mozilla's CA root certificates for use with webpki,,22270197,https://github.com/rustls/webpki-roots,6152,webpki-roots,https://github.com/rustls/webpki-roots,2022-07-09 06:43:56.251986
2019-02-11 10:38:10.168331,Replacement for crate (macro_rules keyword) in proc-macros ,https://docs.rs/proc-macro-crate,22230374,,114057,proc-macro-crate,https://github.com/bkchr/proc-macro-crate,2022-08-08 13:18:17.405189
