name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
chrono_utils,44318,Utils for chrono library. It's may parse w3c date.,2017-01-03 11:16:23.648002,2017-12-23 15:39:39.401668,http://svmk.github.io/chrono_utils/0.1.0/chrono_utils/,,https://github.com/svmk/rust-chrono-utils,7900
egg-mode,44318,Library to interact with the Twitter API,2016-08-04 17:52:24.155485,2021-07-09 12:50:02.344886,https://docs.rs/egg-mode,,https://github.com/egg-mode-rs/egg-mode,5891
thrussh-config,44315,"Utilities to parse .ssh/config files, including helpers to implement ProxyCommand in Thrussh.",2018-09-27 16:52:10.221808,2021-03-27 13:00:54.120111,https://docs.rs/thrussh-config,,https://nest.pijul.com/pijul/thrussh,86863
pgx,44314,pgx:  A Rust framework for creating Postgres extensions,2020-01-09 09:27:45.890353,2022-06-01 20:46:39.070281,https://docs.rs/pgx,https://github.com/zombodb/pgx,https://github.com/zombodb/pgx,196873
splay_tree,44273,"Splay Tree based Data Structures (map, set, heap)",2016-08-12 13:44:58.150873,2018-04-14 02:01:08.873636,,https://github.com/sile/splay_tree,https://github.com/sile/splay_tree,5960
isahc-opendal-workaround,44264,The practical HTTP client that is fun to use.,2022-08-12 16:09:01.866795,2022-08-12 16:09:01.866795,https://docs.rs/isahc/,,https://github.com/sagebind/isahc,644170
time-tz,44243,Implementation of tz database (IANA) for the time Rust crate.,2022-02-07 23:28:49.822616,2022-05-22 13:12:20.864944,,,https://github.com/Yuri6037/time-tz,528712
icu_plurals,44228,Unicode Plural Rules categorizer for numeric input,2020-10-15 15:34:13.001103,2022-08-05 00:51:18.18806,,,https://github.com/unicode-org/icu4x,300039
mdcat,44216,cat for markdown: Show markdown documents in terminals,2018-01-19 15:24:53.062469,2022-07-31 18:35:28.617482,https://docs.rs/mdcat,https://codeberg.org/flausch/mdcat,https://codeberg.org/flausch/mdcat,47416
fixed_decimal,44213,An API for representing numbers in a human-readable form,2020-10-15 15:25:20.264738,2022-08-04 23:38:30.313875,,,https://github.com/unicode-org/icu4x,300032
